code,label,obesity_nq5,low_birth_wgt,male_exp,fem_exp,unemploy,deprivation,obesity_prevalence
E05008815,Melbourne,3 - Quintile 3,4.6,81.3,87.8,2.5,7.4,13
E05008816,Midway,2 - Quintile 2,8.9,80,84.9,3.6,19.3,24.3
E05008817,Newhall and Stanton,3 - Quintile 3,11,76.5,82.9,4.4,25.2,27.8
E05008818,Repton,2 - Quintile 2,6.4,78,84.2,1.2,7.8,27.3
E05008819,Seales,3 - Quintile 3,5.9,78.4,80.4,2.9,15.1,25
E05008820,Stenson,3 - Quintile 3,10.9,80.3,82.8,2.4,13.4,23.3
E05008821,Swadlincote,2 - Quintile 2,7.9,77.8,80.8,3.4,20.1,28.9
E05008822,Willington and Findern,2 - Quintile 2,6.1,83.9,86.8,2.4,8.2,24.1
E05008823,Woodville,4 - Quintile 4,7.3,77.2,80.1,3.7,17.9,26.5
E05008857,Abbott,2 - Quintile 2,8.5,77.7,81.5,4.2,30.1,N/A - not available
E05008858,Berry Hill,2 - Quintile 2,3.7,79.8,82.8,1.3,6.5,23.1
E05008859,Brick Kiln,4 - Quintile 4,6.7,80.4,82,4.5,27.7,15
E05008860,Broomhill,2 - Quintile 2,5.7,75.6,79.9,8,34,33.3
E05008861,Bull Farm and Pleasley Hill,3 - Quintile 3,7.7,77,78.7,5.4,35.6,26.9
E05008862,Carr Bank,3 - Quintile 3,4.9,73.5,74.3,7.8,45.8,24
E05008863,Eakring,3 - Quintile 3,N/A - not available,79.1,83.6,1.5,7.9,18.8
E05008864,Grange Farm,5 - Quintile 5 Lowest 20%,6.5,81.2,80.5,2.3,9,25
E05008865,Holly,5 - Quintile 5 Lowest 20%,7.2,81.4,84.3,2.3,8,22.2
E05008866,Hornby,2 - Quintile 2,5.9,77,87.1,1.3,10.3,28.6
E05008867,Kings Walk,2 - Quintile 2,2.5,N/A - not available,85.4,2.1,7.3,13
E05008868,Kingsway,3 - Quintile 3,7.5,77.9,80.4,4.6,21.1,18.2
E05008869,Ladybrook,3 - Quintile 3,12.5,76.8,84,7.9,41.9,25
E05008870,Lindhurst,3 - Quintile 3,N/A - not available,83.7,85.6,1.9,10.2,16.7
E05008871,Ling Forest,2 - Quintile 2,4.8,79.5,85,2.4,11.3,12.5
E05008872,Manor,3 - Quintile 3,N/A - not available,81.3,84.9,1.7,11,18.2
E05008873,Market Warsop,2 - Quintile 2,8.6,74.5,78.4,6.8,32.5,26.1
E05008874,Maun Valley,2 - Quintile 2,6.6,80,81.3,2.9,17.5,28.6
E05008875,Meden,2 - Quintile 2,4.9,76.5,82.6,4.6,30.8,21.4
E05008876,Netherfield,1 - Quintile 1 Highest 20%,11.7,78.7,84.5,5.4,32.4,23.5
E05008877,Newgate,2 - Quintile 2,7.9,68.3,76.7,9.4,49.5,26.1
E05008878,Newlands,2 - Quintile 2,3.9,77.5,83.9,3.5,26.3,22.7
E05008879,Oak Tree,2 - Quintile 2,8.4,75.6,78.5,8.7,61.3,20
E05008880,Oakham,2 - Quintile 2,10.9,83.2,87.8,1.7,13.4,13.3
E05008881,Park Hall,2 - Quintile 2,7.5,76.4,78.9,4.8,29.7,26.1
E05008882,Peafields,2 - Quintile 2,6.9,80.1,82.4,4.6,22.8,16.7
E05008883,Penniment,3 - Quintile 3,4.7,80.8,83.3,4.9,33,17.6
E05008884,Portland,1 - Quintile 1 Highest 20%,8.6,75.9,81.3,9.4,46.8,33.3
E05008885,Racecourse,1 - Quintile 1 Highest 20%,10.3,76.6,82,4.9,27.9,25
E05008886,Ransom Wood,3 - Quintile 3,9.4,74.7,79.9,7.9,52.5,31.6
E05008887,Sandhurst,3 - Quintile 3,4,80.8,84.7,4.8,15.5,18.2
E05008888,Sherwood,2 - Quintile 2,7.6,81.1,79.1,3.7,35.4,25
E05008889,Warsop Carrs,2 - Quintile 2,8.1,79.4,82.3,4.9,35.6,25.7
E05008890,Woodhouse,2 - Quintile 2,10.7,73,79.5,7.1,43.5,32.1
E05008891,Woodlands,2 - Quintile 2,4.4,74.9,80.5,6.6,26.8,N/A - not available
E05008892,Yeoman Hill,2 - Quintile 2,7.1,79.2,83.7,4.2,27.7,21.4
E05009619,Forest,1 - Quintile 1 Highest 20%,3.6,80.9,82.6,2.2,8.5,16.7
E05009620,Winstanley,1 - Quintile 1 Highest 20%,5.7,80.9,86.1,3.6,13.3,19.6
E05009621,Coastal,2 - Quintile 2,6.1,81.2,84.8,3.2,22.3,33.3
E05009622,Fenside,2 - Quintile 2,5.2,77.1,82.1,7.6,37.2,35
E05009623,Fishtoft,2 - Quintile 2,5.9,79.4,82.8,3.5,15.9,24.4
E05009624,Five Village,1 - Quintile 1 Highest 20%,8.2,76.8,87.7,3.4,28.2,25
E05009625,Kirton and Frampton,2 - Quintile 2,7.3,78.8,81.4,4.5,19.2,20
E05009626,Old Leake and Wrangle,2 - Quintile 2,9.2,78,82.5,4.7,28.9,29.4
E05009627,St Thomas',2 - Quintile 2,7,76,78.3,4.6,13.1,23.8
E05009628,Skirbeck,1 - Quintile 1 Highest 20%,7.8,74.9,81.6,7.6,28.3,25.8
E05009629,Staniland,2 - Quintile 2,5.7,75.3,80.5,6.2,27,29
E05009630,Station,2 - Quintile 2,8.6,75.4,81.1,11.1,22,29.2
E05009631,Swineshead and Holland Fen,1 - Quintile 1 Highest 20%,6.7,79.7,85.8,4.4,25.7,22.7
E05009632,Trinity,1 - Quintile 1 Highest 20%,7.6,77.2,81.1,6.5,16.7,20.6
E05009633,West,2 - Quintile 2,6,N/A - not available,85.6,2.3,8.6,25
E05009634,Witham,1 - Quintile 1 Highest 20%,7,77.5,85.5,7.6,24.5,22.6
E05009635,Wyberton,3 - Quintile 3,7.1,79.9,82.8,4.4,20.1,24.1
E05009636,Bardney,2 - Quintile 2,5.9,77.6,84.3,3.2,23.4,26.3
E05009637,Caistor and Yarborough,2 - Quintile 2,6.5,80.8,85.5,2.9,13.5,28
E05009638,Cherry Willingham,3 - Quintile 3,3.9,81.6,82.9,2.4,12.6,22.7
E05009639,Dunholme and Welton,2 - Quintile 2,6.5,81.6,85.7,2.6,11.1,25
E05009640,Gainsborough East,2 - Quintile 2,7.6,75.5,80.2,7.1,41.8,27.7
E05009641,Gainsborough North,4 - Quintile 4,7.5,79.8,84.6,6.3,32.9,29.4
E05009642,Gainsborough South-West,3 - Quintile 3,11,72.2,78.1,12.1,56.5,37.5
E05009643,Hemswell,2 - Quintile 2,12.2,78.1,86,4,27,20
E05009644,Kelsey Wold,2 - Quintile 2,8.8,80.8,86.3,2.3,16.6,28.6
E05009645,Lea,2 - Quintile 2,4.7,N/A - not available,81,2.4,13.3,N/A - not available
E05009646,Market Rasen,4 - Quintile 4,7.5,81,83.4,4,17.7,19.1
E05009647,Nettleham,3 - Quintile 3,3,81.9,87.8,1.6,6.7,15.4
E05009648,Saxilby,4 - Quintile 4,3.4,81,84.8,2.5,11.1,23.3
E05009649,Scampton,5 - Quintile 5 Lowest 20%,2.5,84.2,86.9,2,12.2,29.2
E05009650,Scotter and Blyton,4 - Quintile 4,7.3,80.3,81.3,2.3,13.2,26.7
E05009651,Stow,4 - Quintile 4,4.9,79.4,81,1.9,16.6,N/A - not available
E05009652,Sudbrooke,4 - Quintile 4,7.6,81.7,85,1,7.9,23.1
E05009653,Torksey,4 - Quintile 4,10.8,81.1,88.3,3.7,19.2,N/A - not available
E05009654,Waddingham and Spital,4 - Quintile 4,11.8,82.7,85.4,2.5,14.9,N/A - not available
E05009655,Wold View,4 - Quintile 4,9.8,77.8,82.9,4.2,26.6,28.6
E05009689,Bestwood St Albans,2 - Quintile 2,6.1,79.9,82.7,5.1,16,25.8
E05009690,Calverton,2 - Quintile 2,6.6,79.4,83.1,3.3,14.6,25
E05009691,Carlton,2 - Quintile 2,4.6,79.3,82.4,5.1,17.7,22.6
E05009692,Carlton Hill,2 - Quintile 2,6,79.3,82.8,4.5,16.9,23.7
E05009693,Cavendish,2 - Quintile 2,4,78,82.1,4.5,23.3,26.7
E05009694,Colwick,3 - Quintile 3,5.8,N/A - not available,N/A - not available,3.9,13.4,21.1
E05009695,Coppice,5 - Quintile 5 Lowest 20%,6.5,80.8,83.9,4.3,19.7,26.9
E05009696,Daybrook,2 - Quintile 2,6.6,77.4,81.2,5.3,24.6,21.2
E05009697,Dumbles,1 - Quintile 1 Highest 20%,6.2,80.3,83.7,2.1,7.3,26.7
E05009698,Ernehale,1 - Quintile 1 Highest 20%,6.3,80.3,83.8,4.1,19.2,25
E05009699,Gedling,2 - Quintile 2,4.8,81.7,83.7,2.9,10.8,21.1
E05009700,Netherfield,1 - Quintile 1 Highest 20%,3.3,77.4,78.4,6.3,28.5,26.8
E05009701,Newstead Abbey,1 - Quintile 1 Highest 20%,7.5,84.1,85,2.5,9.1,22.2
E05009702,Phoenix,2 - Quintile 2,7.3,78.7,82.5,3.8,14.1,21.2
E05009703,Plains,1 - Quintile 1 Highest 20%,6.6,81.9,86.6,2.7,9.3,14.8
E05009704,Porchester,1 - Quintile 1 Highest 20%,5.2,81.2,83.5,2.6,8.8,22
E05009705,Redhill,1 - Quintile 1 Highest 20%,8,82,81.7,3.7,16.7,21.4
E05009706,Trent Valley,1 - Quintile 1 Highest 20%,6.4,80.7,84.1,2.4,6.7,18.5
E05009707,Woodthorpe,1 - Quintile 1 Highest 20%,4.5,80.3,81.3,2.3,6.6,14.8
E05009708,Abbey,1 - Quintile 1 Highest 20%,4.8,82.7,85.2,1.7,4,15
E05009709,Bingham East,1 - Quintile 1 Highest 20%,1.5,80.3,86.2,2.6,4.3,11.4
E05009710,Bingham West,1 - Quintile 1 Highest 20%,4.7,79,83.2,2.9,9.5,23.7
E05009711,Bunny,1 - Quintile 1 Highest 20%,N/A - not available,84.7,86.3,1.2,6.2,33.3
E05009712,Compton Acres,2 - Quintile 2,9.7,83.7,87.8,2.1,2.8,10.3
E05009713,Cotgrave,1 - Quintile 1 Highest 20%,4.3,79.1,79.9,3.1,12.8,27.9
E05009714,Cranmer,1 - Quintile 1 Highest 20%,6.9,81.5,83.7,1.6,9.1,21.4
E05009715,Cropwell,3 - Quintile 3,9.1,82.5,87.6,2.3,6.5,21.4
E05009716,East Bridgford,2 - Quintile 2,7.7,84.7,91.5,1.8,4.2,17.6
E05009717,Edwalton,1 - Quintile 1 Highest 20%,7.1,80.9,83.3,3.1,10,17.1
E05009718,Gamston North,1 - Quintile 1 Highest 20%,6.3,78.8,80.4,2.5,8,20
E05009719,Gamston South,1 - Quintile 1 Highest 20%,6.8,82.4,83.8,2.1,1.7,11.8
E05009720,Gotham,2 - Quintile 2,N/A - not available,78.8,85.6,3.1,12,21.4
E05009721,Keyworth & Wolds,1 - Quintile 1 Highest 20%,5.8,82.4,85.9,2.6,7.3,20
E05009722,Lady Bay,2 - Quintile 2,3.8,82.1,83.9,2.1,5.3,14.3
E05009723,Leake,2 - Quintile 2,6,82.4,84.9,1.9,5.4,17.6
E05009724,Lutterell,1 - Quintile 1 Highest 20%,3.9,80.7,83.1,2.7,9.4,15.6
E05009725,Musters,1 - Quintile 1 Highest 20%,5.1,85.7,86.8,1.5,3.3,14.3
E05009726,Nevile & Langar,5 - Quintile 5 Lowest 20%,5.6,85.7,87.4,1.6,12.1,16.7
E05009727,Radcliffe on Trent,1 - Quintile 1 Highest 20%,3,81.5,84,2.3,6.7,17.8
E05009728,Ruddington,1 - Quintile 1 Highest 20%,6,81,83,2.3,6.9,13.7
E05009729,Sutton Bonington,1 - Quintile 1 Highest 20%,5.3,N/A - not available,87.4,1.2,5.1,N/A - not available
E05009730,Thoroton,1 - Quintile 1 Highest 20%,12,84.1,86.7,2.5,10.2,21.4
E05009731,Tollerton,2 - Quintile 2,N/A - not available,83.6,91.4,1.3,3,16.7
E05009732,Trent Bridge,1 - Quintile 1 Highest 20%,5.3,78.4,86.3,2.5,10.4,17.6
E05009873,Alford,1 - Quintile 1 Highest 20%,8.4,78.2,79.4,5.6,27.9,20.7
E05009874,Binbrook,1 - Quintile 1 Highest 20%,10.2,81.7,82.8,2,24.4,N/A - not available
E05009875,Burgh le Marsh,2 - Quintile 2,5.2,75.9,85.4,4.7,25.1,N/A - not available
E05009876,Chapel St Leonards,1 - Quintile 1 Highest 20%,8.4,73.4,78.7,7.3,49.3,35.3
E05009877,Coningsby & Mareham,1 - Quintile 1 Highest 20%,5.6,81.5,84.3,3.5,18.2,19.4
E05009878,Croft,2 - Quintile 2,N/A - not available,79.3,82.8,6.1,32.2,N/A - not available
E05009879,Friskney,2 - Quintile 2,12.8,77.7,85.4,4.9,38.1,30
E05009880,Fulstow,4 - Quintile 4,N/A - not available,81.2,87.1,2.5,N/A - not available,25
E05009881,Grimoldby,2 - Quintile 2,5.9,82.5,82.5,2.2,14.9,30.8
E05009882,Hagworthingham,1 - Quintile 1 Highest 20%,5.5,80,85.2,3.2,27,N/A - not available
E05009883,Halton Holegate,1 - Quintile 1 Highest 20%,12.3,80.6,82.8,3.3,28.3,18.2
E05009884,Holton-le-Clay & North Thoresby,1 - Quintile 1 Highest 20%,7.8,81.7,84.3,2.7,11,16.7
E05009885,Horncastle,1 - Quintile 1 Highest 20%,6.2,77,83.1,4,18.9,23.8
E05009886,Ingoldmells,1 - Quintile 1 Highest 20%,5.9,72.1,76.4,9.1,52.3,25
E05009887,Legbourne,2 - Quintile 2,4.5,79.9,85.8,1.5,22.4,16.7
E05009888,Mablethorpe,3 - Quintile 3,6.4,73.6,77.3,7.8,54.3,33.3
E05009889,Marshchapel & Somercotes,2 - Quintile 2,6.2,80.5,84.5,3.3,27,21.4
E05009890,North Holme,1 - Quintile 1 Highest 20%,9.5,77.6,78.4,4.4,30.3,27.8
E05009891,Priory & St James',1 - Quintile 1 Highest 20%,6.4,78.8,82.2,5.1,22.5,25.9
E05009892,Roughton,1 - Quintile 1 Highest 20%,11.5,77.6,83.5,3.3,21.9,N/A - not available
E05009893,St Clement's,1 - Quintile 1 Highest 20%,9.5,72.8,79.4,6.1,43.4,27
E05009894,St Margaret's,1 - Quintile 1 Highest 20%,7.5,77.3,78,3.5,22.9,28.6
E05009895,St Mary's,1 - Quintile 1 Highest 20%,N/A - not available,82.5,84.5,2.6,13.3,N/A - not available
E05009896,St Michael's,3 - Quintile 3,7.5,78.7,82.7,2.4,18.3,25
E05009897,Scarbrough & Seacroft,2 - Quintile 2,8.4,74.2,79,8.5,44.5,28
E05009898,Sibsey & Stickney,4 - Quintile 4,5.7,79.4,82.8,3.7,23.6,26.1
E05009899,Spilsby,5 - Quintile 5 Lowest 20%,8.8,78.7,80.9,5.2,25.9,28
E05009900,Sutton on Sea,2 - Quintile 2,6,78.3,81.6,4.9,34.1,28.6
E05009901,Tetford & Donington,1 - Quintile 1 Highest 20%,N/A - not available,83.6,81.2,2.5,22.8,N/A - not available
E05009902,Tetney,1 - Quintile 1 Highest 20%,N/A - not available,79.4,83.3,2.1,14.4,N/A - not available
E05009903,Trinity,1 - Quintile 1 Highest 20%,8.4,77.7,83.5,5.5,41,35
E05009904,Wainfleet,1 - Quintile 1 Highest 20%,5.4,77.7,80.9,6.3,48.1,33.3
E05009905,Willoughby with Sloothby,1 - Quintile 1 Highest 20%,7.7,78.4,84.9,3.2,34,N/A - not available
E05009906,Winthorpe,1 - Quintile 1 Highest 20%,6.3,75.1,81.2,9.9,45.5,32.4
E05009907,Withern & Theddlethorpe,1 - Quintile 1 Highest 20%,7.4,79.6,84.8,3,28.7,N/A - not available
E05009908,Woodhall Spa,1 - Quintile 1 Highest 20%,6.3,81.7,85.6,2.3,11.2,22.2
E05009909,Wragby,1 - Quintile 1 Highest 20%,8.5,82.1,82.1,3.8,25.4,21.4
E05010064,Balderton South,5 - Quintile 5 Lowest 20%,10.8,83.1,85.2,4.2,15.4,27.8
E05010066,Bilsthorpe,5 - Quintile 5 Lowest 20%,5.8,79.5,82.7,3.7,23.6,26.3
E05010067,Boughton,5 - Quintile 5 Lowest 20%,7.9,78.4,81.4,6.1,16.4,38.9
E05010068,Bridge,5 - Quintile 5 Lowest 20%,5.3,75,80.5,5.7,26.6,21.2
E05010070,Collingham,5 - Quintile 5 Lowest 20%,6.8,79.4,83,2.6,15,15.4
E05010071,Devon,5 - Quintile 5 Lowest 20%,6.5,79.1,81.8,6,34.2,29.1
E05010072,Dover Beck,5 - Quintile 5 Lowest 20%,N/A - not available,83.6,85.2,1.7,6.3,15.4
E05010073,Edwinstowe & Clipstone,5 - Quintile 5 Lowest 20%,7.2,78.1,81.9,3.1,19.9,25.3
E05010075,Farnsfield,5 - Quintile 5 Lowest 20%,3.5,82.9,89.4,1.8,6.3,29.4
E05010076,Lowdham,5 - Quintile 5 Lowest 20%,5.3,84.1,88.6,1.5,11.3,27.3
E05010077,Muskham,5 - Quintile 5 Lowest 20%,9.4,82.8,86.6,2.2,10.2,25
E05010078,Ollerton,5 - Quintile 5 Lowest 20%,7.9,76,80.6,4.2,33.2,23.1
E05010079,Rainworth North & Rufford,4 - Quintile 4,8.9,80.5,83.5,3.2,19.5,25.5
E05010080,Rainworth South & Blidworth,4 - Quintile 4,7,78.4,80,3.8,28.4,25
E05010081,Southwell,4 - Quintile 4,2.4,82.9,84.3,2,6.4,17.2
E05010082,Sutton-on-Trent,4 - Quintile 4,4.3,82.4,83,2.4,15,23.1
E05010083,Trent,4 - Quintile 4,N/A - not available,82.2,82.8,1.5,9.5,23.1
E05010090,Appleby,4 - Quintile 4,7.8,82.2,82.3,1.4,9.3,25
E05010091,Ashby Castle,5 - Quintile 5 Lowest 20%,9.1,84.1,87.2,0.6,5.4,18.2
E05010092,Ashby Holywell,4 - Quintile 4,9,N/A - not available,86,3,15.2,15.8
E05010093,Ashby Ivanhoe,3 - Quintile 3,4.2,80.4,86.5,2.3,12.6,14.3
E05010094,Ashby Money Hill,4 - Quintile 4,8,N/A - not available,82.7,2.5,7.3,13.8
E05010095,Ashby Willesley,4 - Quintile 4,6.6,N/A - not available,79.1,2.6,15.1,N/A - not available
E05010096,Ashby Woulds,4 - Quintile 4,3.9,79.6,81.4,3,18.2,15
E05010097,Bardon,4 - Quintile 4,7,81.3,83.8,2.3,7.1,25
E05010098,Blackfordby,5 - Quintile 5 Lowest 20%,13.6,78.6,82.3,4.3,14.2,23.1
E05010099,Broom Leys,4 - Quintile 4,7.9,74.7,85.1,2.7,15.3,20
E05010100,Castle Donington Castle,4 - Quintile 4,9.2,81.3,80.9,2.6,17.7,30
E05010101,Castle Donington Central,5 - Quintile 5 Lowest 20%,1.9,83.9,85.7,2.2,7.1,13
E05010102,Castle Donington Park,3 - Quintile 3,N/A - not available,N/A - not available,N/A - not available,3.2,N/A - not available,N/A - not available
E05010103,Castle Rock,4 - Quintile 4,9.5,79.3,88.7,4.9,30.6,31.2
E05010104,Coalville East,4 - Quintile 4,4.9,81.3,83.1,2.1,15.4,N/A - not available
E05010105,Coalville West,4 - Quintile 4,5.9,75.2,75.8,5.7,22.8,22.7
E05010106,Daleacre Hill,4 - Quintile 4,4,79.6,85.4,3,10.8,16.7
E05010107,Ellistown & Battleflat,4 - Quintile 4,4.6,82,80.9,2.5,12.6,16.7
E05010108,Greenhill,5 - Quintile 5 Lowest 20%,8.5,75.2,79.8,5,37.4,22.2
E05010109,Hermitage,4 - Quintile 4,4.5,81.5,82.3,3.1,12.9,21.4
E05010110,Holly Hayes,4 - Quintile 4,N/A - not available,80.6,83,2.7,20.7,16.7
E05010111,Hugglescote St John's,2 - Quintile 2,3.8,N/A - not available,N/A - not available,2.7,12.7,30.8
E05010112,Hugglescote St Mary's,3 - Quintile 3,3.4,77.4,86.2,2.5,9.7,21.1
E05010113,Ibstock East,4 - Quintile 4,4.1,77.5,80.5,2.8,19.6,18.8
E05010114,Ibstock West,5 - Quintile 5 Lowest 20%,5.8,81.2,85.6,2.6,10.1,20
E05010115,Kegworth,5 - Quintile 5 Lowest 20%,N/A - not available,80,86.8,1.8,7.8,25
E05010116,Long Whatton & Diseworth,5 - Quintile 5 Lowest 20%,5.3,81.6,90.2,1.8,7.9,21.4
E05010117,Measham North,5 - Quintile 5 Lowest 20%,6.5,76.9,85.5,2.6,8.3,17.6
E05010118,Measham South,5 - Quintile 5 Lowest 20%,7,76.8,84.3,3.8,17.3,18.2
E05010119,Oakthorpe & Donisthorpe,5 - Quintile 5 Lowest 20%,5.1,80.6,84.3,3,16.2,23.5
E05010120,Ravenstone & Packington,5 - Quintile 5 Lowest 20%,6.2,80.4,90.6,1.6,9.7,23.5
E05010121,Sence Valley,5 - Quintile 5 Lowest 20%,N/A - not available,82.8,85.2,2.6,12.9,12
E05010122,Snibston North,5 - Quintile 5 Lowest 20%,2.9,78.4,82.8,3.5,11.4,10
E05010123,Snibston South,5 - Quintile 5 Lowest 20%,6,79.9,79.2,4.1,20.9,11.1
E05010124,Thornborough,5 - Quintile 5 Lowest 20%,9.2,N/A - not available,82.6,2,6.9,N/A - not available
E05010125,Thringstone,5 - Quintile 5 Lowest 20%,5.1,78.1,80.4,4.6,19,21.1
E05010126,Valley,5 - Quintile 5 Lowest 20%,6.7,80.9,86,2.4,16.2,27.3
E05010127,Worthington & Breedon,5 - Quintile 5 Lowest 20%,8,81.2,84.1,1.8,13.5,15.4
E05010148,Aveland,5 - Quintile 5 Lowest 20%,8.3,81.2,83,2.8,20.9,N/A - not available
E05010149,Belmont,5 - Quintile 5 Lowest 20%,2.7,79.4,86.7,2.7,6.8,25.9
E05010150,Belvoir,5 - Quintile 5 Lowest 20%,5.8,82.9,84.9,2.2,12.4,16.7
E05010151,Bourne Austerby,5 - Quintile 5 Lowest 20%,5.8,79.4,82.4,2.4,7.7,21.7
E05010152,Bourne East,5 - Quintile 5 Lowest 20%,4.7,79.1,84,3.3,14.7,27.6
E05010153,Bourne West,2 - Quintile 2,5.6,80.6,83.1,2.9,6.8,25
E05010154,Casewick,1 - Quintile 1 Highest 20%,4.1,80,87.5,2.4,5.3,15.4
E05010155,Castle,1 - Quintile 1 Highest 20%,N/A - not available,79.4,88.7,2.3,16.2,N/A - not available
E05010156,Deeping St James,2 - Quintile 2,5.3,80.3,85.5,2.9,7.8,18.2
E05010157,Dole Wood,2 - Quintile 2,N/A - not available,82.3,86.1,2.5,6.4,27.3
E05010158,Glen,1 - Quintile 1 Highest 20%,5.6,84.4,92.1,1.8,13.2,N/A - not available
E05010159,Grantham Arnoldfield,2 - Quintile 2,4.3,78.7,80.5,2.4,5.6,26.5
E05010160,Grantham Barrowby Gate,2 - Quintile 2,5.8,81.2,84,3.2,10,25
E05010161,Grantham Earlesfield,2 - Quintile 2,7.8,77.7,81.8,9.1,35.9,27.3
E05010162,Grantham Harrowby,2 - Quintile 2,4,78,80.6,5.9,30.6,25
E05010163,Grantham St Vincent's,1 - Quintile 1 Highest 20%,6.6,77.4,82.1,7.2,18.3,32.5
E05010164,Grantham St Wulfram's,1 - Quintile 1 Highest 20%,3.3,77.1,80.2,6,17.7,20.8
E05010165,Grantham Springfield,1 - Quintile 1 Highest 20%,6,79.2,82.3,4.7,19.7,26.1
E05010166,Isaac Newton,2 - Quintile 2,4.9,81.5,82.6,3.8,16.3,26.1
E05010167,Lincrest,1 - Quintile 1 Highest 20%,N/A - not available,84.4,86.5,2,14.4,N/A - not available
E05010168,Loveden Heath,1 - Quintile 1 Highest 20%,3.9,82.7,84.6,2.6,13.5,N/A - not available
E05010169,Market & West Deeping,2 - Quintile 2,5,82.8,85.2,3.8,11.4,20.6
E05010170,Morton,2 - Quintile 2,5.4,84.9,85,2.7,10.8,25
E05010171,Peascliffe & Ridgeway,2 - Quintile 2,5.8,81.5,86.1,3.3,11.6,20
E05010172,Stamford All Saints,3 - Quintile 3,7.4,80.9,83.3,3.5,12.3,25
E05010173,Stamford St George's,3 - Quintile 3,9.1,79.5,84.7,4.3,13.8,29.2
E05010174,Stamford St John's,3 - Quintile 3,4,84.2,87.8,1.9,3.5,24.3
E05010175,Stamford St Mary's,3 - Quintile 3,3.6,81.8,84.1,4.1,13.2,21.4
E05010176,Toller,3 - Quintile 3,4.8,82.1,84,2.9,17.1,28.6
E05010177,Viking,3 - Quintile 3,5.9,83.7,86.7,2.2,9.6,20
E05010458,Abbey,4 - Quintile 4,6.4,77.5,80.9,7,36.5,25.9
E05010459,Aylestone,3 - Quintile 3,7.2,78.9,80.4,5.8,26.6,22.4
E05010460,Beaumont Leys,3 - Quintile 3,7.3,77.3,81.5,7.8,34.1,27
E05010461,Belgrave,2 - Quintile 2,12,77.5,83.1,5.7,29.8,14
E05010462,Braunstone Park & Rowley Fields,2 - Quintile 2,7.6,73.9,78.3,8.7,45.3,27.1
E05010463,Castle,3 - Quintile 3,7.9,77,84.1,3.6,22.4,18.2
E05010464,Evington,3 - Quintile 3,8.2,78.2,82,6.4,25.3,15.7
E05010465,Eyres Monsell,2 - Quintile 2,6.7,75.9,80.6,7.9,48.8,23.1
E05010466,Fosse,2 - Quintile 2,7.6,75.9,82.3,7.5,34.9,27.6
E05010467,Humberstone & Hamilton,2 - Quintile 2,7.8,77.5,81.6,5.2,22.2,17.9
E05010468,Knighton,2 - Quintile 2,8.3,78.6,82.5,3.8,14.3,19.4
E05010469,North Evington,3 - Quintile 3,12.7,77.1,83.6,5.9,31.5,13.9
E05010470,Rushey Mead,4 - Quintile 4,10.2,77.9,84.1,5.2,24.3,17.8
E05010471,Saffron,2 - Quintile 2,8.1,71.4,78.9,5.9,45.2,23.7
E05010472,Spinney Hills,2 - Quintile 2,9.7,79.7,83.9,6.1,26.2,14.7
E05010473,Stoneygate,2 - Quintile 2,8.8,78.1,85.6,7.5,25.8,19.4
E05010474,Thurncourt,3 - Quintile 3,8.1,76.6,81.8,6.1,29.2,20.2
E05010475,Troon,3 - Quintile 3,8.7,75.6,82.3,6.5,29.1,17
E05010476,Westcotes,2 - Quintile 2,7,75.1,80.9,5.8,26.3,19.5
E05010477,Western,3 - Quintile 3,8.1,75.1,79.9,8.4,40.7,26
E05010478,Wycliffe,2 - Quintile 2,9.6,77.5,82.5,8.4,38.3,15.3
E05010514,Attenborough & Chilwell East,4 - Quintile 4,3.1,80.3,82.1,2.1,8,18.8
E05010515,"Awsworth, Cossall & Trowell",4 - Quintile 4,5,81.9,86,2.8,12.8,23.1
E05010516,Beeston Central,4 - Quintile 4,5.8,77.2,80.5,2.9,18.2,21.7
